Adduct,N,MAE,MDAE,RMSE,MRE (%),MDRE (%),R2
[M+H]+,5268,2.8094,2.0507,4.0195,1.4937,1.1007,0.9779
[M-H]-,3283,3.8118,2.6421,5.4552,1.9864,1.4055,0.9591
[M+Na]+,3184,3.6391,2.6265,5.2787,1.8475,1.3381,0.9677
[M+H-H2O]+,283,2.9965,1.9166,4.8559,1.7436,1.1802,0.9806
[M+K]+,282,4.7685,3.5425,6.6279,2.6228,1.8332,0.9669
[M+NH4]+,145,3.5261,2.9829,4.4228,1.2045,1.1088,0.9844
[M+HCOO]-,99,2.5025,1.9597,3.6375,1.2498,0.8379,0.9958
[M]+,66,1.8829,1.1471,2.8811,1.0628,0.7128,0.9873
[M+Na-2H]-,40,3.8077,2.6178,5.604,2.1397,1.4943,0.9645
[M+Cl]-,39,2.1653,1.7164,2.8844,1.0407,0.7314,0.9973
[M+CH3COO]-,21,2.3961,1.3046,3.6038,0.9859,0.5123,0.9765
[M+2Na-H]+,18,1.4943,0.9079,2.1529,0.5151,0.3286,0.9382
[M-H-H2O]-,17,3.3857,2.9415,4.1531,2.0126,1.7577,0.974
[M+H-2H2O]+,6,3.24,2.7331,4.2144,1.6405,1.4095,0.9792
[M-H-CO2]-,5,3.286,3.2442,3.3983,2.0236,1.8835,0.9838
[M+dot]+,5,0.7888,0.7302,0.8993,0.5741,0.4617,0.9958
[M-2H]2-,4,3.1585,2.219,3.9775,0.7763,0.5485,-0.7073
[M+Na-H+HCOO]-,4,1.1041,0.9054,1.2984,0.5262,0.4352,0.8723
[M+Na-H+Cl]-,4,3.091,3.2105,3.7861,1.5342,1.5855,0.5872
[M+K-H+HCOO]-,4,6.3922,4.0687,8.8475,2.9665,1.925,-6.3281
[M+Na-H2O]+,3,3.4234,3.6015,3.5651,1.4652,1.1958,0.9931
[M+2K]2+,2,2.6394,2.6394,3.209,0.6198,0.6198,-33.0422
[M+Li]+,2,8.788,8.788,10.5099,4.6507,4.6507,-0.6034
[M-SO3-2H2O+H]+,2,1.9463,1.9463,1.9828,1.0112,1.0112,0.9328
[M-SO3-H2O-H]-,2,4.2724,4.2724,4.4065,2.1526,2.1526,-76.6677
[M-SO3-H]-,2,8.1224,8.1224,8.2303,4.0129,4.0129,-1082.8164
[M+2H]2+,2,8.9428,8.9428,8.954,2.5983,2.5983,0.9639
[M-H2O+HCOO]-,1,0.5592,0.5592,0.5592,0.2677,0.2677,
[M-SO3-H2O+H]+,1,7.6825,7.6825,7.6825,4.0097,4.0097,
[M+Na-2H2O]+,1,2.1541,2.1541,2.1541,0.6759,0.6759,
[M+Rb]+,1,5.9589,5.9589,5.9589,2.1404,2.1404,
[M+K-2H]-,1,3.8799,3.8799,3.8799,1.8881,1.8881,
[M+H2O-H]-,1,10.5155,10.5155,10.5155,6.564,6.564,
[M+H-NH3]+,1,1.9172,1.9172,1.9172,0.9784,0.9784,
[M+Cs]+,1,9.0897,9.0897,9.0897,4.4168,4.4168,
[M+3H]3+,1,87.3647,87.3647,87.3647,17.6231,17.6231,
[M]-,1,10.1715,10.1715,10.1715,5.3335,5.3335,
