AllCCS ID,Name,Structure,Formula,Type,Adduct,m/z,CCS,Confidence level,Update date
AllCCS00001001,Aminacrine,C1=CC=C2C(=C1)C(C3=CC=CC=C3N2)=N,C13H10N2,Experimental CCS,[M+H]+,195.0917,136.8,3,2019-08-12
AllCCS00001002,Ketoconazole,CC(N1CCN(CC1)C2=CC=C(C=C2)OCC3(COC(CN4C=CN=C4)(C=5C=CC(=CC5Cl)Cl)O3)[H])=O,C26H28Cl2N4O4,Experimental CCS,[M+H]+,531.1561,214.5,3,2019-08-12
AllCCS00001003,Disopyramide,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=N)O)C(C)C,C21H29N3O,Experimental CCS,[M+H]+,340.2384,179.9,3,2019-08-12
AllCCS00001004,Cidoxepin,CN(C)CCC(=C1C2=CC=CC=C2COC3=CC=CC=C13)[H],C19H21NO,Experimental CCS,[M+H]+,280.1696,163.5,3,2019-08-12
AllCCS00001005,Methenamine,C1N2CN3CN1CN(C2)C3,C6H12N4,Experimental CCS,[M+H]+,141.1135,126.8,3,2019-08-12
AllCCS00001006,Thiabendazole,C1=CC=C2C(=C1)N=C(C3=CSC=N3)N2,C10H7N3S,Experimental CCS,[M+H]+,202.0434,138.9,Conflict,2022-10-08
AllCCS00001006,Thiabendazole,C1=CC=C2C(=C1)N=C(C3=CSC=N3)N2,C10H7N3S,Experimental CCS,[M+Na]+,224.0254,158.3,Conflict,2022-10-08
AllCCS00001006,Thiabendazole,C1=CC=C2C(=C1)N=C(C3=CSC=N3)N2,C10H7N3S,Experimental CCS,[M-H]-,200.0288,143.2,2,2022-10-08
AllCCS00001007,Methylthiouracil,CC1=CC(=NC(=N1)S)O,C5H6N2OS,Experimental CCS,[M+H]+,143.0274,123.7,3,2019-08-12
AllCCS00001008,Nitrofural,C=1C=C(N(=O)=O)OC1C(=NNC(=N)O)[H],C6H6N4O4,Experimental CCS,[M+H]+,199.0462,138.6,3,2022-10-08
AllCCS00001008,Nitrofural,C=1C=C(N(=O)=O)OC1C(=NNC(=N)O)[H],C6H6N4O4,Experimental CCS,[M-H]-,197.0316,136.9,3,2022-10-08
AllCCS00001009,Flumequine,CC1CCC2=CC(=CC3=C2N1C=C(C3=O)C(=O)O)F,C14H12FNO3,Experimental CCS,[M+H]+,262.0874,150.2,Conflict,2022-10-08
AllCCS00001009,Flumequine,CC1CCC2=CC(=CC3=C2N1C=C(C3=O)C(=O)O)F,C14H12FNO3,Experimental CCS,[M+Na]+,284.0694,165.9,2,2022-10-08
AllCCS00001010,Thioridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC=4C=CC(=CC42)SC,C21H26N2S2,Experimental CCS,[M+H]+,371.161,185.0,3,2019-08-12
AllCCS00001011,Thiothixene,CN(C)S(C=1C=CC2=C(C1)C(=C(CCN3CCN(C)CC3)[H])C4=CC=CC=C4S2)(=O)=O,C23H29N3O2S2,Experimental CCS,[M+H]+,444.1774,201.9,3,2019-08-12
AllCCS00001012,Famotidine,C(CSCC1=CSC(=N1)NC(=N)N)C(=N)NS(N)(=O)=O,C8H15N7O2S3,Experimental CCS,[M+H]+,338.0522,167.2,3,2019-08-12
AllCCS00001013,Etodolac,CCC=1C=CC=C2C=3CCOC(CC)(CC(=O)O)C3NC12,C17H21NO3,Experimental CCS,[M+H]+,288.1594,164.4,3,2019-08-12
AllCCS00001014,Hycanthone,CCN(CC)CCNC=1C=CC(CO)=C2C1C(C3=CC=CC=C3S2)=O,C20H24N2O2S,Experimental CCS,[M+H]+,357.1631,180.4,3,2019-08-12
AllCCS00001015,Dalfampridine,C1=CNC=CC1=N,C5H6N2,Experimental CCS,[M+H]+,95.0604,117.8,3,2019-08-12
AllCCS00001016,Isoxicam,CC1=CC(=NC(C2=C(C3=CC=CC=C3S(N2C)(=O)=O)O)=O)NO1,C14H13N3O5S,Experimental CCS,[M+H]+,336.0649,170.8,3,2019-08-12
