smi,adduct,ccs
CC(C)N(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,[M+H]+,161.68
COC12C(COC(=N)O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,[M+H]+,169.5
CCC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN(C(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(C)CC)C1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)O,[M+H]+,204.9
Oc1nc(O)c2nc[nH]c2n1,[M+Na]+,152.6
N=C(N)NC(CC(=O)O)C(=O)O,[M+Na-2H]-,147.1
c1ccc2[nH]c(-c3nccs3)nc2c1,[M+H]+,136.2
CC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC(=O)OCC(COC(=O)CC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CC)OC(=O)CC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CC,[M+Na]+,354.78
Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1O,[M+Na]+,207.4
Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,[M+Na]+,179.6
CC12CCC3C(CC=C4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O,[M+Na]+,232.1
CN=C(O)C(=NOC)c1ccccc1COc1cc(C)ccc1C,[M+H]+,172.1
CC=CCC=CCC=CCC=CCC(=O)OCC(COC(=O)CC=CCC=CCC=CC)OC(=O)CC=CCC=CCC=CC,[M+Na]+,234.17
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,[M+H]+,165.5
Cn1cnc(N)c2ncnc1-2,[M+H]+,126.38888888333334
O=C1c2ccc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,[M-H]-,154.2
COc1cc(C=CC(=O)O)ccc1O,[M+H]+,128.8
CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)c1ccccc1,[M+H-H2O]+,187.8
CC(C)[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C[C@@H](C)O)C(=O)N1CCC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C1,[M+H]+,254.0
CC(O)=Nc1ccc(S(=O)(=O)c2ccc(N=C(C)O)cc2)cc1,[M+H]+,171.19999999999996
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,[M+H-H2O]+,187.8
NC(CCC(O)=NC(CSSCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O)C(O)=NCC(=O)O)C(=O)O,[M-H]-,215.1
Cn1cnc2[nH]c(=N)nc(O)c21,[M-H]-,136.6
O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,[M-H]-,236.5
COCCCOc1cc(CC(CC(N)C(O)CC(C(O)=NCC(C)(C)C(=N)O)C(C)C)C(C)C)ccc1OC,[M+H]+,226.2909007
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,[M+H]+,164.2
N=C(O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N,[M+H]+,172.0
O=C(O)CCN=C(O)c1ccccc1,[M+H]+,138.7
N=c1ccn(C2OC(CO)C(OP(=O)(O)O)C2O)c(O)n1,[M-H]-,170.4
Cn1c(=O)nc(O)c2nc[nH]c21,[M+H]+,127.90000000000002
N=c1nc(O)c2ncn(C3OC4COP(=O)(O)OC4C3O)c2[nH]1,[M-H]-,167.0
CC(O)=NCCCCN,[M-H]-,127.2
C=NC(C(O)=NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1,[M+H]+,180.4
CC=C(C)C(O)=NCC(=O)O,[M-H]-,142.9
Cc1ccccc1C(O)=NCC(=O)O,[M-H]-,153.7
CC(O)C(=O)SCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O,[M-H]-,173.9
N=C(O)CCC(N=C(O)Cc1ccccc1)C(=O)O,[M+Na]+,171.212231625
Cc1ccccc1C(O)=NCC(=O)O,[M+Na]+,156.6
CCCCC(CC)COP(=O)(O)Oc1ccccc1,[M+Na]+,183.41
CCC(C(N)=O)(C(N)=O)c1ccccc1,[M+H]+,143.8
CCCCCC=CCC(=O)C=CC=CC=CC(O)CCCC(=O)O,[M-H]-,182.4
