smi,adduct,ccs
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,[M+Na]+,153.2
CC(C)N(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,[M+H]+,161.68
O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O,[M-H]-,143.9333333333333
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,[M+Na]+,189.7
CSCC[C@H](NC(=O)[C@H](C[C@@H](C)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,[M+H]+,300.7
CC=CCC=CCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CC=CCCCC,[M-CH3]-,237.8
COC12C(COC(=N)O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,[M+H]+,169.5
CCC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN(C(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(C)CC)C1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)O,[M+H]+,204.9
Oc1nc(O)c2nc[nH]c2n1,[M+Na]+,152.6
O=CC(O)C(O)COP(=O)(O)O,[M-H]-,149.2
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)OC(=O)CCCCCCC/C=C\C/C=C\C[C@@H](CCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,[M+HCOO]-,317.21
CCCCCC(O)C=CC1C(O)CC(O)C1CC(=O)CCCCC(=O)O,[M+H]+,179.1
