smi,mass,z,ccs,name,superclass,class,subclass,adduct,tag
CC1(C)Nc2cccc3c(N=Nc4ccc(N=Nc5ccccc5)c5ccccc45)ccc(c23)N1,457.2135,1,230.23,Sudan Black B,Benzenoids,Naphthalenes,"1,1'-azonaphthalenes",[M+H]+,ACS
c1ccc(-c2nnc(-c3cccnc3)nc2-c2ccccc2)cc1,311.1291,1,183.6,"5,6-diphenyl-3-(pyridin-3-yl)-1,2,4-triazine",Organoheterocyclic compounds,Triazines,"1,2,4-triazines",[M+H]+,METLIN
CC1=NNC(=O)N(/N=C/c2cccnc2)C1,218.1036,1,150.71,Pymetrozine,Organoheterocyclic compounds,Triazines,"1,2,4-triazines",[M+H]+,CCSBASE
CC1=NNC(=O)N(/N=C/c2cccnc2)C1,218.10364,1,152.5,Pymethrozine,Organoheterocyclic compounds,Triazines,"1,2,4-triazines",[M+H]+,CCSBASE
CC1=NNC(=O)N(/N=C/c2cccnc2)C1,218.1036,1,151.1,Pymetrozine,Organoheterocyclic compounds,Triazines,"1,2,4-triazines",[M+H]+,CCSBASE
CC1=NNC(=O)N(/N=C/c2cccnc2)C1,240.0856,1,157.82,Pymetrozine,Organoheterocyclic compounds,Triazines,"1,2,4-triazines",[M+Na]+,CCSBASE
CC(C)(C)c1n[nH]c(=O)n(N)c1=O,185.1033,1,140.52,Diketometribuzin,Organoheterocyclic compounds,Triazines,"1,2,4-triazines",[M+H]+,CCSBASE
CC(C)(C)c1n[nH]c(=O)n(N)c1=O,183.0887,-1,143.06,Diketometribuzin,Organoheterocyclic compounds,Triazines,"1,2,4-triazines",[M-H]-,CCSBASE
Cc1ccn2nc(S(=O)(=O)Nc3c(F)cccc3F)nc2n1,326.0518,1,165.04,Flumetsulam,Organoheterocyclic compounds,Triazolopyrimidines,"1,2,4-triazolopyrimidine-2-sulfonamides",[M+H]+,CCSBASE
Cc1ccn2nc(S(=O)(=O)Nc3c(F)cccc3F)nc2n1,364.0077,1,180.34,Flumetsulam,Organoheterocyclic compounds,Triazolopyrimidines,"1,2,4-triazolopyrimidine-2-sulfonamides",[M+K]+,CCSBASE
Cc1ccn2nc(S(=O)(=O)Nc3c(F)cccc3F)nc2n1,348.0337,1,174.06,Flumetsulam,Organoheterocyclic compounds,Triazolopyrimidines,"1,2,4-triazolopyrimidine-2-sulfonamides",[M+Na]+,CCSBASE
Cc1ccn2nc(S(=O)(=O)Nc3c(F)cccc3F)nc2n1,324.0372,-1,171.38,Flumetsulam,Organoheterocyclic compounds,Triazolopyrimidines,"1,2,4-triazolopyrimidine-2-sulfonamides",[M-H]-,CCSBASE
S=c1ccss1,134.9392,1,120.4,"3H-1,2-DITHIOLE-3-THIONE",Organoheterocyclic compounds,Dithioles,"1,2-dithioles",[M+H]+,CCSBASE
C=CC(=O)N1CN(C(=O)C=C)CN(C(=O)C=C)C1,284.0807,-1,161.7,"Hexahydro-1,3,5-tris(1-oxoallyl)-1,3,5-triazine",Organoheterocyclic compounds,Triazinanes,"1,3,5-triazinanes",[M+Cl]-,CCSBASE
C=CC(=O)N1CN(C(=O)C=C)CN(C(=O)C=C)C1,272.1006,1,157.93,"Hexahydro-1,3,5-tris(1-oxoallyl)-1,3,5-triazine",Organoheterocyclic compounds,Triazinanes,"1,3,5-triazinanes",[M+Na]+,CCSBASE
O=C(O)c1cccc(N(Cc2cccnc2)c2ccc(OC(F)F)c(OC(F)F)c2)c1,419.1014,1,190.74,PharmaGSID_48510,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M+H-H2O]+,CCSBASE
O=C(O)c1cccc(N(Cc2cccnc2)c2ccc(OC(F)F)c(OC(F)F)c2)c1,435.0973,-1,203.94,PharmaGSID_48510,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M-H]-,CCSBASE
CSc1nc(NC(C)C)nc(NC(C)C)n1,242.1434,1,160.6,PROMETRYN,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M+H]+,CCSBASE
CSc1nc(NC(C)C)nc(NC(C)C)n1,242.1434,1,161.78,Prometryn,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M+H]+,CCSBASE
Nc1nc(N)nc(N)n1,127.0727,1,123.48,Melamine,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M+H]+,ACS
CCNc1nc(NC(C)CC)nc(OC)n1,226.1662,1,156.34,Secbumeton,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M+H]+,CCSBASE
O=c1[nH]c(=O)[nH]c(=O)[nH]1,128.0101,-1,121.99,Cyanuric acid,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M-H]-,CCSBASE
COc1nc(NC(C)C)nc(NC(C)C)n1,226.1662,1,157.61,Prometon,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M+H]+,CCSBASE
CCNc1nc(Cl)nc(NC(C)C)n1,216.1003794,1,150.7392703,Atrazine,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M+H]+,CCSBASE
CCNc1nc(Cl)nc(NC(C)C)n1,216.1010532,1,149.26,Atrazine,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",[M+H]+,CCSBASE
